No.,US-Equity-SNP,US-Equity-1000,US-Equity-Russell-2000,US-Equity-All
452,ALLE,MSTR,MYGN,MYGN
453,HII,ONTO,NEO,NEO
454,MTCH,SSD,TNC,TNC
455,JNPR,LNW,BANC,BANC
456,HSIC,PCVX,EQC,EQC
457,HRL,BRBR,RLJ,RLJ
458,PAYC,NXT,PEB,PEB
459,MKTX,FN,OPEN,OPEN
460,AIZ,APG,JOE,JOE
461,RHI,CYTK,SITM,SITM
462,BXP,AIT,ROAD,ROAD
463,UHS,WFRD,PLMR,PLMR
464,AAL,SPSC,AVDX,AVDX
465,NWSA,UFPI,SNEX,SNEX
466,PNW,ITCI,PTCT,PTCT
467,WYNN,CHRD,DAN,DAN
468,CPB,HQY,VCYT,VCYT
469,BWA,RHP,UPBD,UPBD
470,BBWI,MTDR,ACVA,ACVA
471,GNRC,SSB,TDS,TDS
472,PARA,ENSG,SIX,SIX
473,TPR,CMC,ANDE,ANDE
474,BEN,SIGI,HEES,HEES
475,CTLT,QLYS,CNK,CNK
476,FRT,RMBS,STR,STR
477,FMC,FLR,ODP,ODP
478,XRAY,ATI,B,B
479,NCLH,TMHC,ENVA,ENVA
480,IVZ,CHX,BATRK,BATRK
481,BIO,TENB,JOBY,JOBY
482,CMA,NOVT,TFIN,TFIN
483,WHR,MUR,IVT,IVT
484,HAS,ANF,WSBC,WSBC
485,VFC,MARA,VECO,VECO
486,ZION,AAON,IONQ,IONQ
487,DVA,PBF,AZZ,AZZ
488,RL,GTLS,NGVT,NGVT
489,SEE,BCC,TALO,TALO
490,ALK,MLI,EPAC,EPAC
491,MHK,PR,HLMN,HLMN
492,SEDG,MTH,AGM,AGM
493,FOX,ATKR,VSTO,VSTO
494,NWS,OPCH,PRKS,PRKS
495,,ESNT,RNST,RNST
496,,BECN,CLDX,CLDX
497,,CVNA,UPWK,UPWK
498,,DUOL,LZB,LZB
499,,WTS,CSGS,CSGS
500,,VRNS,VRTS,VRTS
501,,FTAI,LAUR,LAUR
502,,ALKS,IBTX,IBTX
503,,SFM,JELD,JELD
504,,BPMC,AGYS,AGYS
505,,NSIT,RXRX,RXRX
506,,TRNO,YOU,YOU
507,,CIVI,CAKE,CAKE
508,,CWST,JBGS,JBGS
509,,MMS,PRO,PRO
510,,IBP,PACB,PACB
511,,STNE,XPRO,XPRO
512,,EXLS,WAFD,WAFD
513,,ALTR,CMPR,CMPR
514,,ASO,LKFN,LKFN
515,,NE,VGR,VGR
516,,COOP,THRM,THRM
517,,ONB,CWK,CWK
518,,SPXC,SQSP,SQSP
519,,FSS,BRP,BRP
520,,ALTM,LUMN,LUMN
521,,KRG,OFG,OFG
522,,SIG,EYE,EYE
523,,SUM,ROIC,ROIC
524,,ZWS,GNL,GNL
525,,UBSI,TROX,TROX
526,,MTSI,CXW,CXW
527,,WK,DFIN,DFIN
528,,ASGN,TTMI,TTMI
529,,HALO,SDGR,SDGR
530,,SM,KAR,KAR
531,,CBT,ENVX,ENVX
532,,APPF,TRMK,TRMK
